model_1,model_2,regime,cka_score
gena-lm-bigbird-base-t2t,gpn-brassicales,coding_vs_coding,0.1896153729260896
gena-lm-bigbird-base-t2t,gpn-brassicales,noncoding_vs_noncoding,0.44263710231521564
gena-lm-bigbird-base-t2t,gpn-brassicales,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,gpn-brassicales,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,GROVER,coding_vs_coding,0.5374118314114219
gena-lm-bigbird-base-t2t,GROVER,noncoding_vs_noncoding,0.5659356693379065
gena-lm-bigbird-base-t2t,GROVER,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,GROVER,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,coding_vs_coding,0.19390964024633806
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,noncoding_vs_noncoding,0.49800550555749595
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.2024462893088973
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.508839390916742
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.3219258510333746
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.5093866381701991
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.2611566935288831
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.41615718867204626
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.3156976701879749
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.36957268549992933
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
gpn-brassicales,GROVER,coding_vs_coding,0.40090369989000313
gpn-brassicales,GROVER,noncoding_vs_noncoding,0.5347284525993681
gpn-brassicales,GROVER,coding_vs_noncoding,
gpn-brassicales,GROVER,noncoding_vs_coding,
gpn-brassicales,hyenadna-large-1m-seqlen-hf,coding_vs_coding,0.6356082449158751
gpn-brassicales,hyenadna-large-1m-seqlen-hf,noncoding_vs_noncoding,0.5725573905778059
gpn-brassicales,hyenadna-large-1m-seqlen-hf,coding_vs_noncoding,
gpn-brassicales,hyenadna-large-1m-seqlen-hf,noncoding_vs_coding,
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.7020671466267145
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.5859164319013002
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
gpn-brassicales,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.5316384723120431
gpn-brassicales,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.5477531010370591
gpn-brassicales,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
gpn-brassicales,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
