model_1,model_2,regime,cka_score
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.9200202965366903
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.8436542621284933
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.7574869751938772
GROVER,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.7375988292621173
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.7343421197508809
GROVER,hyenadna-large-1m-seqlen-hf,noncoding_vs_noncoding,0.7317998301263325
GROVER,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.7310349702511969
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.7020671466267145
gpn-brassicales,hyenadna-large-1m-seqlen-hf,coding_vs_coding,0.6356082449158751
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.5859164319013002
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.5787541762284305
GROVER,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.573169477768254
gpn-brassicales,hyenadna-large-1m-seqlen-hf,noncoding_vs_noncoding,0.5725573905778059
gena-lm-bigbird-base-t2t,GROVER,noncoding_vs_noncoding,0.5659356693379065
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.5619627650041431
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.5548738092787845
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5529355746849159
gpn-brassicales,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.5477531010370591
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.5435871957527281
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5402784009142971
gena-lm-bigbird-base-t2t,GROVER,coding_vs_coding,0.5374118314114219
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5364798507228561
gpn-brassicales,GROVER,noncoding_vs_noncoding,0.5347284525993681
gpn-brassicales,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.5316384723120431
GROVER,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5306245437124999
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.5295166546442058
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.5093866381701991
GROVER,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.5090243685651316
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.508839390916742
GROVER,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.49997542127732153
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,noncoding_vs_noncoding,0.49800550555749595
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.480217974560131
GROVER,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.44921451353119984
gena-lm-bigbird-base-t2t,gpn-brassicales,noncoding_vs_noncoding,0.44263710231521564
GROVER,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.43262610594599993
GROVER,hyenadna-large-1m-seqlen-hf,coding_vs_coding,0.42656446904183143
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.41823708997739295
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.41615718867204626
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.40588425600957584
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.40563477466028486
gpn-brassicales,GROVER,coding_vs_coding,0.40090369989000313
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.4001906956878919
gpn-brassicales,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.3988193252685457
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.3978832933179918
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.36957268549992933
