model_1,model_2,coding_vs_coding,noncoding_vs_noncoding
GROVER,hyenadna-large-1m-seqlen-hf,0.42656446904183143,0.7317998301263325
GROVER,hyenadna-medium-450k-seqlen-hf,0.44921451353119984,0.7375988292621173
GROVER,nucleotide-transformer-2.5b-1000g,0.573169477768254,0.7310349702511969
GROVER,nucleotide-transformer-2.5b-multi-species,0.43262610594599993,0.49997542127732153
GROVER,nucleotide-transformer-500m-human-ref,0.5090243685651316,0.5306245437124999
gena-lm-bigbird-base-t2t,GROVER,0.5374118314114219,0.5659356693379065
gena-lm-bigbird-base-t2t,gpn-brassicales,0.1896153729260896,0.44263710231521564
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,0.19390964024633806,0.49800550555749595
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,0.2024462893088973,0.508839390916742
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,0.3219258510333746,0.5093866381701991
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,0.2611566935288831,0.41615718867204626
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,0.3156976701879749,0.36957268549992933
gpn-brassicales,GROVER,0.40090369989000313,0.5347284525993681
gpn-brassicales,hyenadna-large-1m-seqlen-hf,0.6356082449158751,0.5725573905778059
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,0.7020671466267145,0.5859164319013002
gpn-brassicales,nucleotide-transformer-2.5b-1000g,0.5316384723120431,0.5477531010370591
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,0.33123617826619717,0.41823708997739295
gpn-brassicales,nucleotide-transformer-500m-human-ref,0.29214788405967357,0.3988193252685457
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,0.8436542621284933,0.9200202965366903
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,0.5619627650041431,0.7343421197508809
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,0.3978832933179918,0.5295166546442058
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,0.34847827476758897,0.5364798507228561
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,0.5787541762284305,0.7574869751938772
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,0.4001906956878919,0.5435871957527281
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,0.3482676302477091,0.5402784009142971
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,0.40588425600957584,0.5548738092787845
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,0.480217974560131,0.5529355746849159
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,0.3659453920693865,0.40563477466028486
